CustomerID,PhoneNumber,Email,LastName,StreetAddress,City,StateProvidence,PostalCode
1,0733413956,qcocci@example.org,Gradenigo,"Vicolo Piane, 23 Appartamento 1",Silla,UD,07045
2,+39 071697848,marissa51@example.com,Rizzoli,"Piazza Iannelli, 98",Cusino,CL,28841
3,+39 0918095704,arturogiusti@example.net,Bosurgi,"Strada Tutino, 92",Rocchetta Sant'Anton,PV,09014
4,+39 35058346581,gianlucaboccherini@example.com,Argentero,"Piazza Benedetto, 3",Torri Di Quartesolo,BT,38078
5,+39 05367382936,cesarecagnin@example.net,Ricciardi,"Incrocio Schiavone, 61 Appartamento 3",Monghidoro,PG,98168
6,+39 0761247318,veltroniromina@example.org,Cabrini,"Incrocio Sebastiano, 13",Talsano,AG,72029
7,350574687,gian09@example.net,Veneziano,"Piazza Benigni, 8",Villa Paterno,VI,16165
8,+39 096313619,pucciflavia@example.net,Zetticci,"Borgo Mazzocchi, 384 Piano 1",Altenburg,MB,37012
9,+39 019838425,ippazio27@example.net,Marazzi,"Canale Cammarata, 4",Tufillo,FI,23012
10,+39 340534874,clercari@example.org,Montesano,"Via Rossini, 8",Bosnasco,SV,04011
11,+39 377759826,mirco05@example.org,Greco,"Stretto Pisano, 3",Borgonuovo Di Neive,AO,16038
12,3296342163,paulinasbarbaro@example.com,Marino,"Piazza Flora, 56",Madonna Di Pugliano,AQ,38037
13,3388501420,umusatti@example.com,Roero,"Vicolo Favata, 10",Casaletto Spartano,ME,80030
14,35145148454,fredopuglisi@example.net,Parini,"Incrocio Vespa, 464",Coreno Ausonio,MI,98071
15,+39 0874721481,gianluca32@example.org,Beffa,"Vicolo Bonomo, 86",Lignano Pineta,EN,03039
16,+39 3505163280,saracenodonato@example.com,Turchi,"Vicolo Tiepolo, 388 Piano 3",Vocogno,TN,06059
17,3515347145,vincenza81@example.org,Contrafatto,"Via Gabba, 676",Montemezzo,CO,07027
18,3511909674,ipucci@example.net,Vergassola,"Borgo Lattuada, 67",Clauiano,TA,00131
19,378029806,dchittolini@example.org,Benigni,"Rotonda Franscini, 775 Piano 1",Cairate,AN,35125
20,+39 371653100,corradigino@example.org,Sforza,"Viale Imelda, 5",Borgata Marina,GO,41035
21,+39 350549663,manzoniserafina@example.net,Casini,"Stretto Renzi, 181",Agosta,ME,10062
22,38126284979,luigi31@example.com,Salvemini,"Vicolo Parini, 60",Lu Ricciu,CS,28066
23,057749480,lianapisano@example.com,Vitturi,"Canale Stradivari, 40",Runco,SV,26836
24,33495788585,tjuvara@example.com,Gianetti,"Rotonda Dante, 53",Pontone,BG,12071
25,0445524080,viscontilamberto@example.net,Ceci,"Piazza Antonina, 837 Appartamento 24",Norcia,MC,56123
26,+39 094102294,zabarellamarina@example.com,Gelli,"Viale Malipiero, 4 Appartamento 23",Lagaro,CN,01019
27,+39 0375067970,isa47@example.org,Giannotti,"Incrocio Damiano, 32 Appartamento 52",Vallecorsa,BZ,50037
28,366648877,mmimun@example.com,Asprucci,"Canale Romina, 4",Laipacco,PR,98071
29,04219671765,curielmarcello@example.com,Taliercio,"Stretto Barese, 521 Piano 8",Giungano,RO,45021
30,0736038597,goffredovezzali@example.org,Lupo,"Strada Badoer, 92 Piano 1",Panettieri,VV,29121
31,37151274867,rolandovigorelli@example.org,Passalacqua,"Strada Guido, 155",Roisan,CL,98149
32,0578588673,xgiannotti@example.com,Battelli,"Incrocio Pavone, 7 Piano 1",Quero Vas,BG,05018
33,01232621751,serena86@example.com,Sraffa,"Borgo Elvira, 23",Villa San Vincenzo,MI,00142
34,35110050452,virgiliopolizzi@example.net,Errigo,"Strada Cristina, 39",Plan Felinaz,NA,20003
35,05107482156,rolando43@example.com,Soranzo,"Incrocio Antonietta, 59",Ginostra Di Lipari,FG,66021
36,+39 373974395,giovanna21@example.net,Barracco,"Piazza Ossani, 631 Appartamento 92",Brancaleone Marina,FI,00124
37,373745171,xvolterra@example.org,Peruzzi,"Stretto Catalano, 725",Monchio Delle Corti,NO,85040
38,382931746,baresileopoldo@example.com,Carriera,"Stretto Durante, 937",Gonzaga,RM,47014
39,0984640537,cirillo58@example.net,Offredi,"Contrada Faugno, 7",Pogerola,AT,14046
40,+39 035931839,matilda29@example.org,Lerner,"Stretto Giorgio, 1",Raddusa,LT,23877
41,012424026,xsagredo@example.com,Toselli,"Stretto Gangemi, 88",Filorsi,NU,73052
42,360177115,guglielmovespucci@example.net,Modiano,"Viale Togliatti, 1 Piano 7",Lavariano,MN,13864
43,0733615655,fboitani@example.org,Caboto,"Rotonda Paola, 28 Piano 5",Serravalle Scrivia,TA,89843
44,096545198,ggarzoni@example.com,Viviani,"Contrada Antonina, 16 Appartamento 64",Oggiono,AG,16125
45,+39 0922612016,kmorrocco@example.com,Mazzacurati,"Piazza Ermanno, 9 Piano 7",Giusvalla,OT,98070
46,0532381569,qtrombetta@example.com,Beccheria,"Vicolo Bersani, 43",Torre Di Santa Maria,FR,15069
47,+39 0117622681,bbasso@example.org,Savorgnan,"Vicolo Riccardi, 216",San Lorenzo Della Pi,CI,91012
48,0321613698,vmastroianni@example.com,Gangemi,"Strada Tullio, 68 Appartamento 3",Oniferi,FM,17039
49,+39 09742127795,ranieriboldu@example.com,Roth,"Vicolo Bertoni, 88 Piano 0",Barberi,LC,21026
50,+39 3520199869,ufarinelli@example.net,Silvestri,"Viale Claudio, 1",Roca,SR,98034
51,08848925565,monteverdibaccio@example.com,Caccioppoli,"Contrada Conti, 51 Piano 2",Pitelli,GO,36035
52,35195281604,giampaolomortati@example.com,Ferrabosco,"Via Beppe, 31",San Martino Pizzolan,CL,00067
53,+39 37109270639,marcella73@example.net,Giovine,"Borgo Pacelli, 737 Appartamento 9",Paola Marina,AT,57124
54,0932181417,ritaromano@example.org,Gargallo,"Piazza Pozzecco, 426 Piano 3",Monte Vidon Combatte,GR,47014
55,3802204727,antoninigirolamo@example.org,Conte,"Contrada Gilberto, 1 Piano 9",Busto Arsizio,BA,29010
56,0963808936,niscoromnigioacchino@example.net,Prati,"Stretto Michelotto, 88",Ospizio,RI,70056
57,0500515312,alina52@example.net,Scarpa,"Via Azeglio, 40 Appartamento 50",Pognana Lario,VB,45025
58,05003450516,yrosselli@example.com,Fanucci,"Rotonda Traversa, 231 Piano 5",Trodena,BL,15068
